destino,veinte,cuarenta,port_code,source
Abu Dhabi - AEABD,1370.0,1580.0,AEABD,EXIM
Adelaide (AUADL),1770.0,1580.0,AUADL,EXIM
Agadir (MAAGA),1570.0,1620.0,MAAGA,EXIM
Alexandria (EGALY),4270.0,5430.0,EGALY,EXIM
Algeciras (ESALG),1670.0,1880.0,ESALG,EXIM
Alger (DZALG),2370.0,2680.0,DZALG,EXIM
Ambarli/Istambul - TRIST,1670.0,2080.0,TRIST,EXIM
Amsterdam (NLAMS),1970.0,2080.0,NLAMS,EXIM
Antwerp (BEANR),1720.0,1780.0,BEANR,EXIM
Antwerp (BEANR),1720.0,1580.0,BEANR,EXIM
Apapa (NGAPP),3970.0,4930.0,NGAPP,EXIM
Aqaba - JOAQJ,4470.0,6480.0,JOAQJ,EXIM
Arica (CLARI),3670.0,3980.0,CLARI,EXIM
Ashdod - ILASH,1320.0,1380.0,ILASH,EXIM
Atlanta (USATL),5570.0,5730.0,USATL,EXIM
Baltimore (USBAL),4620.0,5030.0,USBAL,EXIM
Bangkok - THBKK,1620.0,1580.0,THBKK,EXIM
Barcelona (ESBCN),1820.0,1430.0,ESBCN,EXIM
Baton Rouge (USBTR),4920.0,4930.0,USBTR,EXIM
Beirut - LBBEY,2620.0,2930.0,LBBEY,EXIM
Belfast,2870.0,3080.0,,EXIM
Bogota (COBOG),4670.0,4980.0,COBOG,EXIM
Boston (USBOS),4620.0,5480.0,USBOS,EXIM
Bremerhaven (DEBRV),1720.0,1580.0,DEBRV,EXIM
Brisbane (AUBNE),2020.0,2430.0,AUBNE,EXIM
Bruselas (BEBRU),2420.0,2680.0,BEBRU,EXIM
Budapest (HUBUD),2470.0,3680.0,HUBUD,EXIM
Budapest (HUBUD),0.0,3230.0,HUBUD,EXIM
"Busan, KR - KRPUS",1570.0,1530.0,KRPUS,EXIM
Calgary (CACAL),5820.0,7330.0,CACAL,EXIM
Calgary (CACAL),6270.0,6730.0,CACAL,EXIM
Callao (PECLL),3270.0,3680.0,PECLL,EXIM
