destino,veinte,cuarenta,port_code,source
Abu Dhabi - AEABD,1950.0,2350,AEABD,FCL
Adelaide (AUADL),2350.0,2350,AUADL,FCL
Agadir (MAAGA),2150.0,2400,MAAGA,FCL
Alexandria (EGALY),4850.0,6200,EGALY,FCL
Algeciras (ESALG),2250.0,2650,ESALG,FCL
Alger (DZALG),2950.0,3450,DZALG,FCL
Ambarli/Istambul - TRIST,2250.0,2850,TRIST,FCL
Amsterdam (NLAMS),2550.0,2850,NLAMS,FCL
Antwerp (BEANR),2300.0,2550,BEANR,FCL
Antwerp (BEANR),2300.0,2350,BEANR,FCL
Apapa (NGAPP),4550.0,5700,NGAPP,FCL
Aqaba - JOAQJ,5050.0,7250,JOAQJ,FCL
Arica (CLARI),4250.0,4750,CLARI,FCL
Ashdod - ILASH,1900.0,2150,ILASH,FCL
Atlanta (USATL),6150.0,6500,USATL,FCL
Baltimore (USBAL),5200.0,5800,USBAL,FCL
Bangkok - THBKK,2200.0,2350,THBKK,FCL
Barcelona (ESBCN),2400.0,2200,ESBCN,FCL
Baton Rouge (USBTR),5500.0,5700,USBTR,FCL
Beirut - LBBEY,3200.0,3700,LBBEY,FCL
Bogota (COBOG),5250.0,5750,COBOG,FCL
Boston (USBOS),5200.0,6250,USBOS,FCL
Bremerhaven (DEBRV),2300.0,2350,DEBRV,FCL
Brisbane (AUBNE),2600.0,3200,AUBNE,FCL
Bruselas (BEBRU),3000.0,3450,BEBRU,FCL
Budapest (HUBUD),3050.0,4450,HUBUD,FCL
Budapest (HUBUD),,4000,HUBUD,FCL
"Busan, KR - KRPUS",2150.0,2300,KRPUS,FCL
Calgary (CACAL),6400.0,8100,CACAL,FCL
Calgary (CACAL),6850.0,7500,CACAL,FCL
Callao (PECLL),3850.0,4450,PECLL,FCL
Caracas (VECCS),4850.0,5600,VECCS,FCL
Cartagena Port (COCTG),3600.0,4100,COCTG,FCL
Casablanca (MACAS),2400.0,3050,MACAS,FCL
Caucedo (DOCAU),3750.0,4250,DOCAU,FCL
Charleston (USCHS),5200.0,5550,USCHS,FCL
Charlotte (USCLT),6200.0,6450,USCLT,FCL
Chicago (USCHI),6250.0,7000,USCHI,FCL
cincinnati (USCVG),6900.0,7150,USCVG,FCL
Cleveland (USCLE),6450.0,7150,USCLE,FCL
Copenhagen (DKCPH),,3600,DKCPH,FCL
Copenhagen (DKCPH),2700.0,3950,DKCPH,FCL
Dakar,3350.0,4500,,FCL
Dallas (USDAL),5450.0,5900,USDAL,FCL
Dar Es Salamm (TZDAR),5150.0,6000,TZDAR,FCL
Denver (USDEN),6850.0,7400,USDEN,FCL
Detroit (USDET),7800.0,8150,USDET,FCL
Doha - QADOH,2900.0,2750,QADOH,FCL
Dubai - AEDXB,3100.0,2800,AEDXB,FCL
Dublin (IEDUB),2400.0,2900,IEDUB,FCL
Durban (ZADUR),2800.0,2900,ZADUR,FCL
Edmonton,7000.0,8000,,FCL
Estocolmo(SESTO),3700.0,4000,SESTO,FCL
Felixstowe (GBFXT),3350.0,4400,GBFXT,FCL
Felixstowe (GBFXT),4000.0,5100,GBFXT,FCL
Fos Sur Mer (FRFOS),2650.0,3250,FRFOS,FCL
Fremantle (AUFRE),2650.0,3100,AUFRE,FCL
Gdansk (PLGDN),2050.0,2550,PLGDN,FCL
Gdynia (PLGDY),2350.0,2900,PLGDY,FCL
Geneve (CHGVA),4650.0,5250,CHGVA,FCL
Genoa (ITGOA),2150.0,2750,ITGOA,FCL
Genoa (ITGOA),2250.0,2750,ITGOA,FCL
Grangemouth (GBGRG),2400.0,2850,GBGRG,FCL
Guayaquil (ECQYE),3950.0,4450,ECQYE,FCL
Haifa - ILHFA,1900.0,2450,ILHFA,FCL
Hamburg (DEHAM),2350.0,2600,DEHAM,FCL
Hammad Port - QAHMD,5100.0,7300,QAHMD,FCL
Hong Kong - HKHKG,1900.0,2100,HKHKG,FCL
Houston (USHOU),4700.0,5100,USHOU,FCL
Hyderabad - INHYD,3050.0,3950,INHYD,FCL
Imbituba (BRIBB),1700.0,2000,BRIBB,FCL
Inchon (Incheon) - KRINC,2400.0,2750,KRINC,FCL
Itajai (BRITJ),1650.0,2000,BRITJ,FCL
Itapoa (BRIOA),1800.0,2150,BRIOA,FCL
Jacksonville (USJAX),5800.0,6000,USJAX,FCL
Jakarta - IDJKT,2150.0,2350,IDJKT,FCL
Jebel Ali - AEJEA,2600.0,2350,AEJEA,FCL
Jebel Ali - AEJEA,2900.0,2350,AEJEA,FCL
Jeddah - SAJED,2900.0,2750,SAJED,FCL
Johannesburg (ZAJBN),3100.0,3650,ZAJBN,FCL
Kansas City (USKCK),7150.0,7350,USKCK,FCL
Karachi - PKKHI,2900.0,3650,PKKHI,FCL
Keelung - TWKEL,2200.0,2350,TWKEL,FCL
Klang - MYPKG,2100.0,2350,MYPKG,FCL
Koper (SIKOP),2550.0,2850,SIKOP,FCL
La Guaira (VELAG),4850.0,5600,VELAG,FCL
Le Havre (FRLEH),2800.0,3300,FRLEH,FCL
Lima (PELIM),4650.0,5150,PELIM,FCL
Lisboa (PTLIS),2100.0,2550,PTLIS,FCL
Liverpool (GBLIV),2550.0,2750,GBLIV,FCL
Livorno (ITLIV),2000.0,2600,ITLIV,FCL
London Gateway (GBLGP),2550.0,3000,GBLGP,FCL
Long Beach (USLGB),5900.0,7500,USLGB,FCL
Los Angeles (USLAX),4800.0,5000,USLAX,FCL
Louisiana (USLUA),7400.0,7750,USLUA,FCL
