destino,source,veinte,cuarenta,reason
Pecem (BRPEC),FCL,2150.0,2550.0,Only available in one source
Klang - MYPKG,FCL,2100.0,2350.0,Only available in one source
"Santa Cruz, Tenerife",Silver,,,Only available in one source
Fos Sur Mer (FRFOS),FCL,2650.0,3250.0,Only available in one source
Toronto (CATOR),FCL,6250.0,6650.0,Only available in one source
Fremantle,Silver,3700.0,4140.0,Only available in one source
Salt Lake City (USSLC),FCL,7050.0,7500.0,Only available in one source
Montevideo (UYMVD),FCL,1900.0,2200.0,Only available in one source
Poti - GEPTI,FCL,2300.0,2550.0,Only available in one source
Charlotte,Silver,6695.0,6850.0,Only available in one source
"Puerto de Lanzarote, Islas Canarias",Silver,,,Only available in one source
Tianjin - CNTXG,FCL,2150.0,2300.0,Only available in one source
Edmonton Terminal,Silver,,,Only available in one source
Rades (TNRDS),FCL,2400.0,3950.0,Only available in one source
Thessaloniki (GRSKG),FCL,3100.0,4250.0,Only available in one source
Sines (PTSIE),FCL,2800.0,2850.0,Only available in one source
Edmonton,FCL,7000.0,8000.0,Only available in one source
Nhava Sheva - INNSA,FCL,2850.0,5450.0,Only available in one source
Phoenix (USPHX),FCL,6550.0,6800.0,Only available in one source
Tegucigalpa (HNTGU),FCL,5600.0,6150.0,Only available in one source
Luxemburgo,Silver,3910.0,4075.0,Only available in one source
Abu Dhabi - AEABD,FCL,1950.0,2350.0,Only available in one source
Puerto Cortes,Silver,5050.0,5490.0,Only available in one source
"Puerto de Lanzarote, Islas Canarias (Arrecife de lanzarote)",AiresDS,3338.0,4285.0,Only available in one source
Suape (BRSUA),FCL,2100.0,2270.0,Only available in one source
Shuwaikh Port - KWSWK,FCL,5200.0,6750.0,Only available in one source
Auckland (NZAKL),AiresDS,3165.0,3412.0,Only available in one source
Jacksonville FL (USJAX),AiresDS,4795.0,4820.0,Only available in one source
Minneapolis (USMES),FCL,7500.0,7850.0,Only available in one source
Suape,Silver,2825.0,3535.0,Only available in one source
Regina,FCL,7150.0,8350.0,Only available in one source
Inchon (Incheon) - KRINC,FCL,2400.0,2750.0,Only available in one source
Fremantle (AUFRE),FCL,2650.0,3100.0,Only available in one source
San jose CR (CRSJO),FCL,4400.0,5000.0,Only available in one source
Buenaventura (COBUN),AiresDS,3475.0,4129.0,Only available in one source
Buenaventura,Silver,4525.0,5225.0,Only available in one source
Manzanillo (MXZLO) (México),AiresDS,4650.0,6539.0,Only available in one source
Chicago (via NYC),Silver,6800.0,7000.0,Only available in one source
Bruselas (BEBRU),FCL,3000.0,3450.0,Only available in one source
Lyttelton,Silver,4515.0,5010.0,Only available in one source
Santo Tomas De Castilla,Silver,5615.0,6055.0,Only available in one source
Montoir de Bretagne (FRMTX),FCL,2800.0,3350.0,Only available in one source
Tauranga (NZTRG),AiresDS,3165.0,3412.0,Only available in one source
Alger (DZALG),FCL,2950.0,3450.0,Only available in one source
Charlotte (USCLT),FCL,6200.0,6450.0,Only available in one source
Melbourne,Silver,3310.0,3560.0,Only available in one source
Incheon,Silver,3090.0,3890.0,Only available in one source
Dar Es Salamm (TZDAR),FCL,5150.0,6000.0,Only available in one source
Toronto Terminal,Silver,7600.0,7800.0,Only available in one source
Onne,Silver,7080.0,8157.0,Only available in one source
Shuwaikh (KWSWK),AiresDS,3954.0,5298.0,Only available in one source
Gdansk (PLGDN),FCL,2050.0,2550.0,Only available in one source
Montreal Port,Silver,,,Only available in one source
Bangkok - THBKK,FCL,2200.0,2350.0,Only available in one source
Paris (FRPAR),FCL,2700.0,2950.0,Only available in one source
Gdynia,Silver,3230.0,3400.0,Only available in one source
Pittsburgh (inland),Silver,6790.0,6961.0,Only available in one source
Rio de Janeiro (BRGIG),Silver,2580.0,2775.0,Only available in one source
Caracas (VECCS),FCL,4850.0,5600.0,Only available in one source
Manila - PHMNL,FCL,2200.0,2400.0,Only available in one source
Constanta,Silver,3025.0,3390.0,Only available in one source
Santo Domingo (DOSDQ),FCL,4000.0,4400.0,Only available in one source
Apapa (NGAPP),FCL,4550.0,5700.0,Only available in one source
Riyadh (SARUH),AiresDS,2662.0,3354.0,Only available in one source
Luanda (AOLAD),FCL,4750.0,5700.0,Only available in one source
Singapore - SGSIN,FCL,1850.0,2100.0,Only available in one source
Jebel Ali - AEJEA,FCL,2600.0,2350.0,Only available in one source
Fos sur Mer (FRFOS),AiresDS,1767.0,2164.0,Only available in one source
Manila,Silver,2585.0,2775.0,Only available in one source
Manila (PHMNL),AiresDS,1539.0,1678.0,Only available in one source
Navegantes (BRNVT),FCL,1650.0,2000.0,Only available in one source
Hyderabad - INHYD,FCL,3050.0,3950.0,Only available in one source
Pittsburg (USPIT),FCL,5900.0,6750.0,Only available in one source
Zurich (CHZRH),FCL,3200.0,3600.0,Only available in one source
Montoir,Silver,3465.0,4450.0,Only available in one source
Mexico city (MXMEX),FCL,4550.0,5200.0,Only available in one source
Durban (ZADUR),FCL,2800.0,2900.0,Only available in one source
Nairobi Terminal,Silver,,,Only available in one source
Ambarli/Istambul - TRIST,FCL,2250.0,2850.0,Only available in one source
Long Beach (USLGB),FCL,5900.0,7500.0,Only available in one source
Rio Haina (DOHAI),FCL,3900.0,4400.0,Only available in one source
Grangemouth (GBGRG),FCL,2400.0,2850.0,Only available in one source
Winnipeg Terminal,Silver,3690.0,4200.0,Only available in one source
Managua (NIMGA),FCL,6000.0,7600.0,Only available in one source
Portland (Via NY),Silver,9290.0,9770.0,Only available in one source
Puerto Cortes (HNPCR),AiresDS,3508.0,3897.0,Only available in one source
Hong Kong - HKHKG,FCL,1900.0,2100.0,Only available in one source
San Jose CR (CRSJO),Silver,5790.0,6230.0,Only available in one source
Rio de Janerio (BRRIO ),FCL,2000.0,2250.0,Only available in one source
Yokohama - JPYOK,FCL,2150.0,2300.0,Only available in one source
Imbituba (BRIBB),FCL,1700.0,2000.0,Only available in one source
Southampton,Silver,3400.0,3975.0,Only available in one source
Milan,Silver,3450.0,3799.0,Only available in one source
Jeddah - SAJED,FCL,2900.0,2750.0,Only available in one source
Incheon (KRINC),AiresDS,856.0,861.0,Only available in one source
Sohar - OMSOH,FCL,2000.0,2500.0,Only available in one source
Karachi - PKKHI,FCL,2900.0,3650.0,Only available in one source
Puerto Barrios,Silver,5050.0,5490.0,Only available in one source
Constanta (ROCND),AiresDS,1867.0,2264.0,Only available in one source
Santo Domingo,Silver,5390.0,5820.0,Only available in one source
Keelung - TWKEL,FCL,2200.0,2350.0,Only available in one source
"Puerto Willemstad, Curazao",Silver,7460.0,8650.0,Only available in one source
Santa Cruz Tenerife (ESSCT),AiresDS,1772.0,1540.0,Only available in one source
Estocolmo(SESTO),FCL,3700.0,4000.0,Only available in one source
Koper (SIKOP),FCL,2550.0,2850.0,Only available in one source
Tanger (MAPTM),FCL,2550.0,2950.0,Only available in one source
