destino,port_code,aires_original,fcl_original,silver_original,aires_20,aires_40,fcl_20,fcl_40,silver_20,silver_40,best_price_20,worst_price_20,price_diff_20,price_diff_20_pct,best_provider_20,best_price_40,worst_price_40,price_diff_40,price_diff_40_pct,best_provider_40,sources_available,match_type
Incheon (KRINC) / Inchon (Incheon) - KRINC,KRINC,Incheon (KRINC),Inchon (Incheon) - KRINC,Incheon,856.0,861.0,2400.0,2750.0,3090.0,3890.0,856.0,3090.0,2234.0,260.98130841121497,AiresDS,861.0,3890.0,3029.0,351.8002322880372,AiresDS,3,fuzzy
Klang (MYPKG) / Klang - MYPKG,MYPKG,Klang (MYPKG),Klang - MYPKG,Klang (MYPKG),1199.0,3528.0,2100.0,2350.0,3745.0,4625.0,1199.0,3745.0,2546.0,212.34361968306922,AiresDS,2350.0,4625.0,2275.0,96.80851063829788,FCL,3,fuzzy
Onne / Onne (NGONN),NGONN,Onne (NGONN),,Onne,2410.0,6962.0,,,7080.0,8157.0,2410.0,7080.0,4670.0,193.7759336099585,AiresDS,6962.0,8157.0,1195.0,17.16460787130135,AiresDS,2,fuzzy
Santos (BRSSZ),BRSSZ,Santos (BRSSZ),Santos (BRSSZ),Santos (BRSSZ),889.0,1048.0,1650.0,1900.0,2250.0,2400.0,889.0,2250.0,1361.0,153.0933633295838,AiresDS,1048.0,2400.0,1352.0,129.00763358778627,AiresDS,3,exact
Singapore (SGSIN) / Singapore - SGSIN,SGSIN,Singapore (SGSIN),Singapore - SGSIN,Singapore (SGSIN),970.0,1020.0,1850.0,2100.0,2425.0,2475.0,970.0,2425.0,1455.0,150.0,AiresDS,1020.0,2475.0,1455.0,142.64705882352942,AiresDS,3,fuzzy
Karachi (PKKHI) / Karachi - PKKHI,PKKHI,Karachi (PKKHI),Karachi - PKKHI,Karachi (PKKHI),3455.0,6272.0,2900.0,3650.0,7150.0,7370.0,2900.0,7150.0,4250.0,146.55172413793102,FCL,3650.0,7370.0,3720.0,101.91780821917808,FCL,3,fuzzy
Abu Dhabi - AEABD / Abu Dhabi - AEAUH,AEABD,Abu Dhabi - AEAUH,Abu Dhabi - AEABD,,4754.0,5998.0,1950.0,2350.0,,,1950.0,4754.0,2804.0,143.7948717948718,FCL,2350.0,5998.0,3648.0,155.2340425531915,FCL,2,fuzzy
Barcelona (ESBCN),ESBCN,Barcelona (ESBCN),Barcelona (ESBCN),Barcelona (ESBCN),1210.0,1500.0,2400.0,2200.0,2815.0,3160.0,1210.0,2815.0,1605.0,132.64462809917353,AiresDS,1500.0,3160.0,1660.0,110.66666666666667,AiresDS,3,exact
Suape / SUAPE (BRSUA),BRSUA,SUAPE (BRSUA),Suape (BRSUA),Suape,1279.0,1938.0,2100.0,2270.0,2825.0,3535.0,1279.0,2825.0,1546.0,120.87568412822517,AiresDS,1938.0,3535.0,1597.0,82.4045407636739,AiresDS,3,fuzzy
Baltimore (USBAL),USBAL,Baltimore (USBAL),Baltimore (USBAL),Baltimore (USBAL),2670.0,2720.0,5200.0,5800.0,5890.0,6090.0,2670.0,5890.0,3220.0,120.5992509363296,AiresDS,2720.0,6090.0,3370.0,123.89705882352942,AiresDS,3,exact
