destino,veinte,cuarenta,port_code,source
Abu Dhabi - AEABD,1950.0,2350,AEABD,EXIM
Adelaide (AUADL),2350.0,2350,AUADL,EXIM
Agadir (MAAGA),2150.0,2400,MAAGA,EXIM
Alexandria (EGALY),4850.0,6200,EGALY,EXIM
Algeciras (ESALG),2250.0,2650,ESALG,EXIM
Alger (DZALG),2950.0,3450,DZALG,EXIM
Ambarli/Istambul - TRIST,2250.0,2850,TRIST,EXIM
Amsterdam (NLAMS),2550.0,2850,NLAMS,EXIM
Antwerp (BEANR),2300.0,2550,BEANR,EXIM
Antwerp (BEANR),2300.0,2350,BEANR,EXIM
Apapa (NGAPP),4550.0,5700,NGAPP,EXIM
Aqaba - JOAQJ,5050.0,7250,JOAQJ,EXIM
Arica (CLARI),4250.0,4750,CLARI,EXIM
Ashdod - ILASH,1900.0,2150,ILASH,EXIM
Atlanta (USATL),6150.0,6500,USATL,EXIM
Baltimore (USBAL),5200.0,5800,USBAL,EXIM
Bangkok - THBKK,2200.0,2350,THBKK,EXIM
Barcelona (ESBCN),2400.0,2200,ESBCN,EXIM
Baton Rouge (USBTR),5500.0,5700,USBTR,EXIM
Beirut - LBBEY,3200.0,3700,LBBEY,EXIM
Bogota (COBOG),5250.0,5750,COBOG,EXIM
Boston (USBOS),5200.0,6250,USBOS,EXIM
Bremerhaven (DEBRV),2300.0,2350,DEBRV,EXIM
Brisbane (AUBNE),2600.0,3200,AUBNE,EXIM
Bruselas (BEBRU),3000.0,3450,BEBRU,EXIM
Budapest (HUBUD),3050.0,4450,HUBUD,EXIM
Budapest (HUBUD),,4000,HUBUD,EXIM
"Busan, KR - KRPUS",2150.0,2300,KRPUS,EXIM
Calgary (CACAL),6400.0,8100,CACAL,EXIM
Calgary (CACAL),6850.0,7500,CACAL,EXIM
Callao (PECLL),3850.0,4450,PECLL,EXIM
Caracas (VECCS),4850.0,5600,VECCS,EXIM
Cartagena Port (COCTG),3600.0,4100,COCTG,EXIM
Casablanca (MACAS),2400.0,3050,MACAS,EXIM
Caucedo (DOCAU),3750.0,4250,DOCAU,EXIM
Charleston (USCHS),5200.0,5550,USCHS,EXIM
Charlotte (USCLT),6200.0,6450,USCLT,EXIM
Chicago (USCHI),6250.0,7000,USCHI,EXIM
cincinnati (USCVG),6900.0,7150,USCVG,EXIM
Cleveland (USCLE),6450.0,7150,USCLE,EXIM
Copenhagen (DKCPH),,3600,DKCPH,EXIM
Copenhagen (DKCPH),2700.0,3950,DKCPH,EXIM
Dakar,3350.0,4500,,EXIM
Dallas (USDAL),5450.0,5900,USDAL,EXIM
Dar Es Salamm (TZDAR),5150.0,6000,TZDAR,EXIM
Denver (USDEN),6850.0,7400,USDEN,EXIM
Detroit (USDET),7800.0,8150,USDET,EXIM
Doha - QADOH,2900.0,2750,QADOH,EXIM
Dubai - AEDXB,3100.0,2800,AEDXB,EXIM
Dublin (IEDUB),2400.0,2900,IEDUB,EXIM
Durban (ZADUR),2800.0,2900,ZADUR,EXIM
Edmonton,7000.0,8000,,EXIM
Estocolmo(SESTO),3700.0,4000,SESTO,EXIM
Felixstowe (GBFXT),3350.0,4400,GBFXT,EXIM
Felixstowe (GBFXT),4000.0,5100,GBFXT,EXIM
Fos Sur Mer (FRFOS),2650.0,3250,FRFOS,EXIM
Fremantle (AUFRE),2650.0,3100,AUFRE,EXIM
Gdansk (PLGDN),2050.0,2550,PLGDN,EXIM
Gdynia (PLGDY),2350.0,2900,PLGDY,EXIM
Geneve (CHGVA),4650.0,5250,CHGVA,EXIM
Genoa (ITGOA),2150.0,2750,ITGOA,EXIM
Genoa (ITGOA),2250.0,2750,ITGOA,EXIM
Grangemouth (GBGRG),2400.0,2850,GBGRG,EXIM
Guayaquil (ECQYE),3950.0,4450,ECQYE,EXIM
Haifa - ILHFA,1900.0,2450,ILHFA,EXIM
Hamburg (DEHAM),2350.0,2600,DEHAM,EXIM
Hammad Port - QAHMD,5100.0,7300,QAHMD,EXIM
Hong Kong - HKHKG,1900.0,2100,HKHKG,EXIM
Houston (USHOU),4700.0,5100,USHOU,EXIM
Hyderabad - INHYD,3050.0,3950,INHYD,EXIM
Imbituba (BRIBB),1700.0,2000,BRIBB,EXIM
Inchon (Incheon) - KRINC,2400.0,2750,KRINC,EXIM
Itajai (BRITJ),1650.0,2000,BRITJ,EXIM
Itapoa (BRIOA),1800.0,2150,BRIOA,EXIM
Jacksonville (USJAX),5800.0,6000,USJAX,EXIM
Jakarta - IDJKT,2150.0,2350,IDJKT,EXIM
Jebel Ali - AEJEA,2600.0,2350,AEJEA,EXIM
Jebel Ali - AEJEA,2900.0,2350,AEJEA,EXIM
Jeddah - SAJED,2900.0,2750,SAJED,EXIM
Johannesburg (ZAJBN),3100.0,3650,ZAJBN,EXIM
Kansas City (USKCK),7150.0,7350,USKCK,EXIM
Karachi - PKKHI,2900.0,3650,PKKHI,EXIM
Keelung - TWKEL,2200.0,2350,TWKEL,EXIM
Klang - MYPKG,2100.0,2350,MYPKG,EXIM
Koper (SIKOP),2550.0,2850,SIKOP,EXIM
La Guaira (VELAG),4850.0,5600,VELAG,EXIM
Le Havre (FRLEH),2800.0,3300,FRLEH,EXIM
Lima (PELIM),4650.0,5150,PELIM,EXIM
Lisboa (PTLIS),2100.0,2550,PTLIS,EXIM
Liverpool (GBLIV),2550.0,2750,GBLIV,EXIM
Livorno (ITLIV),2000.0,2600,ITLIV,EXIM
London Gateway (GBLGP),2550.0,3000,GBLGP,EXIM
Long Beach (USLGB),5900.0,7500,USLGB,EXIM
Los Angeles (USLAX),4800.0,5000,USLAX,EXIM
Louisiana (USLUA),7400.0,7750,USLUA,EXIM
Luanda (AOLAD),4750.0,5700,AOLAD,EXIM
Lyttelton (NZLYT),2900.0,3050,NZLYT,EXIM
Madrid (ESMAD),3050.0,3350,ESMAD,EXIM
Malaga (ESAGP),2400.0,2800,ESAGP,EXIM
Managua (NIMGA),6000.0,7600,NIMGA,EXIM
Manaus (BRMAO),3400.0,3900,BRMAO,EXIM
Manila - PHMNL,2200.0,2400,PHMNL,EXIM
Manzanillo (PAMIT),3750.0,4250,PAMIT,EXIM
Melbourne (AUMEL),2350.0,2450,AUMEL,EXIM
Mexico city (MXMEX),4550.0,5200,MXMEX,EXIM
Miami FL,4750.0,5000,,EXIM
Minneapolis (USMES),7500.0,7850,USMES,EXIM
Montevideo (UYMVD),1900.0,2200,UYMVD,EXIM
Montoir de Bretagne (FRMTX),2800.0,3350,FRMTX,EXIM
Montoir de Bretagne (FRMTX),2350.0,3200,FRMTX,EXIM
Montreal (CAMTR),6250.0,6650,CAMTR,EXIM
Muscat - OMMCT,3200.0,2900,OMMCT,EXIM
Naples (ITNAP),2300.0,2600,ITNAP,EXIM
Navegantes (BRNVT),1650.0,2000,BRNVT,EXIM
New Delhi - INDEL,3700.0,5450,INDEL,EXIM
New Orleans (USMSY),4700.0,5000,USMSY,EXIM
New York (USNYC),5250.0,5800,USNYC,EXIM
Nhava Sheva - INNSA,2850.0,5450,INNSA,EXIM
Norfolk (USORF),5800.0,6000,USORF,EXIM
Oakland (USOAK),6300.0,6750,USOAK,EXIM
Panama city (PAPTY),4200.0,4700,PAPTY,EXIM
Paris (FRPAR),2700.0,2950,FRPAR,EXIM
Pecem (BRPEC),2150.0,2550,BRPEC,EXIM
Perth (AUPER),5100.0,5450,AUPER,EXIM
Phoenix (USPHX),6550.0,6800,USPHX,EXIM
Piraeus (GRPIR),2300.0,2750,GRPIR,EXIM
Pittsburg (USPIT),5900.0,6750,USPIT,EXIM
Port Everglades (USPEF),5000.0,5400,USPEF,EXIM
Port of Spain (TTPOS),5000.0,5400,TTPOS,EXIM
Poti - GEPTI,2300.0,2550,GEPTI,EXIM
Praga (CZPRG),3100.0,3600,CZPRG,EXIM
Puerto Limon (CRLIO),4400.0,4950,CRLIO,EXIM
Puerto Moin (CRPMN),3800.0,4300,CRPMN,EXIM
Quito (ECUIO),4950.0,5450,ECUIO,EXIM
Rabat (MARBA),5000.0,6150,MARBA,EXIM
Rades (TNRDS),2400.0,3950,TNRDS,EXIM
Regina,7150.0,8350,,EXIM
Rio de Janerio (BRRIO ),2000.0,2250,BRRIO,EXIM
Rio Grande ( BRRIG),1650.0,1950,BRRIG,EXIM
Rio Haina (DOHAI),3900.0,4400,DOHAI,EXIM
Roma (ITRMX),3250.0,3450,ITRMX,EXIM
Rotterdam (NLRTM),2250.0,2300,NLRTM,EXIM
Salt Lake City (USSLC),7050.0,7500,USSLC,EXIM
Salvador (BRSSA),2300.0,2500,BRSSA,EXIM
San Antonio (CLSAI),3950.0,4500,CLSAI,EXIM
San jose CR (CRSJO),4400.0,5000,CRSJO,EXIM
San Juan (PRSJU),4400.0,5000,PRSJU,EXIM
Santiago (CLSCL),4700.0,5200,CLSCL,EXIM
Santo Domingo (DOSDQ),4000.0,4400,DOSDQ,EXIM
Santos (BRSSZ),1650.0,1900,BRSSZ,EXIM
Saskatoon,7200.0,8350,,EXIM
Savannah (USSAV),5000.0,5400,USSAV,EXIM
Seatlle (USSEA),5550.0,7100,USSEA,EXIM
Shanghai - CNSHA,2200.0,2400,CNSHA,EXIM
Shuwaikh Port - KWSWK,5200.0,6750,KWSWK,EXIM
Sines (PTSIE),2800.0,2850,PTSIE,EXIM
Singapore - SGSIN,1850.0,2100,SGSIN,EXIM
Soedertaelje (SESOE),3400.0,4600,SESOE,EXIM
Sohar - OMSOH,2000.0,2500,OMSOH,EXIM
Southampton (GBSOU),2550.0,2900,GBSOU,EXIM
Suape (BRSUA),2100.0,2270,BRSUA,EXIM
Sydney (AUSYD),2350.0,2450,AUSYD,EXIM
Tacoma (USTIW),9350.0,9950,USTIW,EXIM
Tanger (MAPTM),2550.0,2950,MAPTM,EXIM
Tegucigalpa (HNTGU),5600.0,6150,HNTGU,EXIM
Thessaloniki (GRSKG),3100.0,4250,GRSKG,EXIM
Thessaloniki (GRSKG),2550.0,3050,GRSKG,EXIM
Tianjin - CNTXG,2150.0,2300,CNTXG,EXIM
Toronto (CATOR),6250.0,6650,CATOR,EXIM
Tunes (Tunis) - TUTUN,2300.0,3800,TUTUN,EXIM
Valencia (ESVLC),2000.0,2450,ESVLC,EXIM
Vancouver (CAVAN),5950.0,6450,CAVAN,EXIM
Vancouver (CAVAN),5550.0,7050,CAVAN,EXIM
Venezia (ITVCE),2280.0,2750,ITVCE,EXIM
Veracruz (MXVER),3600.0,4100,MXVER,EXIM
Vienna (ATVIE),2750.0,3250,ATVIE,EXIM
Vigo (ESVGO),3100.0,3450,ESVGO,EXIM
Willemstad (CWWIL),6900.0,8250,CWWIL,EXIM
Winnipeg,7450.0,8700,,EXIM
Yokohama - JPYOK,2150.0,2300,JPYOK,EXIM
Zurich (CHZRH),3200.0,3600,CHZRH,EXIM
