destino,original_destino,port_code,source,veinte,cuarenta,reason
Alger (DZALG),Alger (DZALG),DZALG,EXIM,2950.0,3450.0,Only available in one source
Edmonton,Edmonton,,EXIM,7000.0,8000.0,Only available in one source
Jakarta - IDJKT,Jakarta - IDJKT,IDJKT,EXIM,2150.0,2350.0,Only available in one source
Muscat - OMMCT,Muscat - OMMCT,OMMCT,EXIM,3200.0,2900.0,Only available in one source
Edmonton Terminal,Edmonton Terminal,,Silver,,,Only available in one source
Tegucigalpa (HNTGU),Tegucigalpa (HNTGU),HNTGU,EXIM,5600.0,6150.0,Only available in one source
Dakar,Dakar,,EXIM,3350.0,4500.0,Only available in one source
Toronto Terminal,Toronto Terminal,,Silver,7600.0,7800.0,Only available in one source
Nhava Sheva - INNSA,Nhava Sheva - INNSA,INNSA,EXIM,2850.0,5450.0,Only available in one source
Tacoma (USTIW),Tacoma (USTIW),USTIW,EXIM,9350.0,9950.0,Only available in one source
Pecem (BRPEC),Pecem (BRPEC),BRPEC,EXIM,2150.0,2550.0,Only available in one source
Manaus (BRMAO),Manaus (BRMAO),BRMAO,EXIM,3400.0,3900.0,Only available in one source
Regina,Regina,,EXIM,7150.0,8350.0,Only available in one source
Doha - QADOH,Doha - QADOH,QADOH,EXIM,2900.0,2750.0,Only available in one source
Kansas City (USKCK),Kansas City (USKCK),USKCK,EXIM,7150.0,7350.0,Only available in one source
Prague,Prague,,Silver,3360.0,3745.0,Only available in one source
Itapoa (BRIOA),Itapoa (BRIOA),BRIOA,EXIM,1800.0,2150.0,Only available in one source
Hyderabad - INHYD,Hyderabad - INHYD,INHYD,EXIM,3050.0,3950.0,Only available in one source
Cartagena Port Colombia (COCTG),Cartagena Port Colombia (COCTG),COCTG,AiresDS,3019.0,3118.0,Only available in one source
Luxemburgo,Luxemburgo,,Silver,3910.0,4075.0,Only available in one source
Miami FL,Miami FL,,EXIM,4750.0,5000.0,Only available in one source
Itajai (BRITJ),Itajai (BRITJ),BRITJ,EXIM,1650.0,2000.0,Only available in one source
Bassens,Bassens,,Silver,,,Only available in one source
Soedertaelje (SESOE),Soedertaelje (SESOE),SESOE,EXIM,3400.0,4600.0,Only available in one source
Imbituba (BRIBB),Imbituba (BRIBB),BRIBB,EXIM,1700.0,2000.0,Only available in one source
Halifax Port,Halifax Port,,Silver,,,Only available in one source
Calgary (CACAL),Calgary (CACAL),CACAL,EXIM,6400.0,8100.0,Only available in one source
Montoir,Montoir,,Silver,3465.0,4450.0,Only available in one source
Nairobi Terminal,Nairobi Terminal,,Silver,,,Only available in one source
Santo Tomas De Castilla,Santo Tomas De Castilla,,Silver,5615.0,6055.0,Only available in one source
Port of Spain (TTPOS),Port of Spain (TTPOS),TTPOS,EXIM,5000.0,5400.0,Only available in one source
Liverpool (GBLIV),Liverpool (GBLIV),GBLIV,EXIM,2550.0,2750.0,Only available in one source
Yokohama - JPYOK,Yokohama - JPYOK,JPYOK,EXIM,2150.0,2300.0,Only available in one source
Piraeus (GRPIR),Piraeus (GRPIR),GRPIR,EXIM,2300.0,2750.0,Only available in one source
Ambarli/Istambul - TRIST,Ambarli/Istambul - TRIST,TRIST,EXIM,2250.0,2850.0,Only available in one source
Geneve (CHGVA),Geneve (CHGVA),CHGVA,EXIM,4650.0,5250.0,Only available in one source
Minneapolis (USMES),Minneapolis (USMES),USMES,EXIM,7500.0,7850.0,Only available in one source
Amsterdam (NLAMS),Amsterdam (NLAMS),NLAMS,EXIM,2550.0,2850.0,Only available in one source
Rio Grande ( BRRIG),Rio Grande ( BRRIG),BRRIG,EXIM,1650.0,1950.0,Only available in one source
Vienna (ATVIE),Vienna (ATVIE),ATVIE,EXIM,2750.0,3250.0,Only available in one source
Winnipeg Terminal,Winnipeg Terminal,,Silver,3690.0,4200.0,Only available in one source
Nassau Bahamas,Nassau Bahamas,,Silver,12290.0,15970.0,Only available in one source
Aqaba - JOAQJ,Aqaba - JOAQJ,JOAQJ,EXIM,5050.0,7250.0,Only available in one source
"Puerto Willemstad, Curazao","Puerto Willemstad, Curazao",,Silver,7460.0,8650.0,Only available in one source
Sines (PTSIE),Sines (PTSIE),PTSIE,EXIM,2800.0,2850.0,Only available in one source
Shuwaikh Port - KWSWK,Shuwaikh Port - KWSWK,KWSWK,EXIM,5200.0,6750.0,Only available in one source
Tanger (MAPTM),Tanger (MAPTM),MAPTM,EXIM,2550.0,2950.0,Only available in one source
Koper (SIKOP),Koper (SIKOP),SIKOP,EXIM,2550.0,2850.0,Only available in one source
Nassau Bahamas NEW PROVIDENCE ISLAND (BSNAS),Nassau Bahamas NEW PROVIDENCE ISLAND (BSNAS),BSNAS,AiresDS,10770.0,13993.0,Only available in one source
Hong Kong - HKHKG,Hong Kong - HKHKG,HKHKG,EXIM,1900.0,2100.0,Only available in one source
Adelaide (AUADL),Adelaide (AUADL),AUADL,EXIM,2350.0,2350.0,Only available in one source
Poti - GEPTI,Poti - GEPTI,GEPTI,EXIM,2300.0,2550.0,Only available in one source
Tianjin - CNTXG,Tianjin - CNTXG,CNTXG,EXIM,2150.0,2300.0,Only available in one source
