destino,veinte,cuarenta,port_code,source
Alexandria (EGALY),3550.0,3750.0,EGALY,Silver
Algeciras (ESALG),2873.0,3331.0,ESALG,Silver
Antwerp (BEANR),2630.0,2790.0,BEANR,Silver
Arica (CLARI),6326.0,6890.0,CLARI,Silver
Ashdod (ILASH),3152.0,3650.0,ILASH,Silver
Atlanta (USATL),6695.0,6850.0,USATL,Silver
Auckland,4310.0,4610.0,,Silver
Baltimore (USBAL),5890.0,6090.0,USBAL,Silver
Barcelona (ESBCN),2815.0,3160.0,ESBCN,Silver
Bassens,,,,Silver
Bogota (COBOG),,,COBOG,Silver
Bremen,3180.0,3380.0,,Silver
Bremerhaven (DEBRV),2630.0,2795.0,DEBRV,Silver
Brisbane (AUBNE),3510.0,3717.0,AUBNE,Silver
Budapest (HUBUD),2510.0,2930.0,HUBUD,Silver
Buenaventura,4525.0,5225.0,,Silver
"Busan, KR - KRPUS",2500.0,2700.0,KRPUS,Silver
Cagliaria,,,,Silver
Callao (PECLL),4660.0,5060.0,PECLL,Silver
Cartagena Port (COCTG),4810.0,5010.0,COCTG,Silver
Caucedo (DOCAU),5055.0,5500.0,DOCAU,Silver
Charleston (USCHS),4890.0,5465.0,USCHS,Silver
Charlotte,6695.0,6850.0,,Silver
Chicago (via NYC),6800.0,7000.0,,Silver
Cleveland (USCLE),6900.0,7150.0,USCLE,Silver
Constanta,3025.0,3390.0,,Silver
Copenhagen,2930.0,4050.0,,Silver
Dallas (USDAL),5690.0,5890.0,USDAL,Silver
Denver (USDEN),6900.0,7390.0,USDEN,Silver
Detroit (USDET),6890.0,7110.0,USDET,Silver
Dublin (IEDUB),3740.0,4770.0,IEDUB,Silver
Edmonton Terminal,,,,Silver
Estocolmo (SESTO),,,SESTO,Silver
Felixstowe,3610.0,4500.0,,Silver
Fos sur Mer,2915.0,3360.0,,Silver
Fremantle,3700.0,4140.0,,Silver
Genoa (ITGOA),2815.0,3160.0,ITGOA,Silver
Gdynia,3230.0,3400.0,,Silver
Grangemouth,3550.0,4220.0,,Silver
Guayaquil (ECQYE),4670.0,5060.0,ECQYE,Silver
Haifa,3155.0,3650.0,,Silver
Halifax Port,,,,Silver
Hamburg (DEHAM),2630.0,2795.0,DEHAM,Silver
Houston (USHOU),4890.0,5030.0,USHOU,Silver
Incheon,3090.0,3890.0,,Silver
Jacksonville,5750.0,6020.0,,Silver
Jebel Ali (AEJEA),2900.0,4635.0,AEJEA,Silver
Karachi (PKKHI),7150.0,7370.0,PKKHI,Silver
Keelung (TWKEL),3145.0,3735.0,TWKEL,Silver
Klang (MYPKG),3745.0,4625.0,MYPKG,Silver
La Guaira,,,,Silver
Le Havre (FRLEH),2630.0,2795.0,FRLEH,Silver
Lagos,,,,Silver
Lisboa (PTLIS),2870.0,3310.0,PTLIS,Silver
Lyttelton,4515.0,5010.0,,Silver
Livorno (ITLIV),2565.0,3160.0,ITLIV,Silver
London Gateway (GBLGP),2600.0,2730.0,GBLGP,Silver
Long Beach CA (USLGB),5135.0,5385.0,USLGB,Silver
Los Angeles (USLAX),5135.0,5385.0,USLAX,Silver
Louisiana (USLUA),7520.0,7770.0,USLUA,Silver
Luxemburgo,3910.0,4075.0,,Silver
Madrid (ESMAD),3090.0,3590.0,ESMAD,Silver
Malaga (ESAGP),,,ESAGP,Silver
Manila,2585.0,2775.0,,Silver
Manzanillo (PAMIT),5050.0,5490.0,PAMIT,Silver
Manzanillo (México),5695.0,7635.0,,Silver
Melbourne,3310.0,3560.0,,Silver
Miami,4940.0,5015.0,,Silver
Milan,3450.0,3799.0,,Silver
Montoir,3465.0,4450.0,,Silver
Montreal Port,,,,Silver
Nairobi Terminal,,,,Silver
Napoles,2930.0,3920.0,,Silver
Nassau Bahamas,12290.0,15970.0,,Silver
New Delhi,5900.0,7360.0,,Silver
New Orleans (USMSY),4940.0,5015.0,USMSY,Silver
New York (USNYC),5955.0,6045.0,USNYC,Silver
Norfolk (USORF),5960.0,6035.0,USORF,Silver
Oakland (USOAK),6480.0,6840.0,USOAK,Silver
Onne,7080.0,8157.0,,Silver
Panama city (PAPTY),5490.0,5930.0,PAPTY,Silver
Perth (AUPER),4580.0,5115.0,AUPER,Silver
Pittsburgh (inland),6790.0,6961.0,,Silver
Portland (Via NY),9290.0,9770.0,,Silver
Port Everglades (USPEF),5960.0,5035.0,USPEF,Silver
Prague,3360.0,3745.0,,Silver
"Puerto de Lanzarote, Islas Canarias",,,,Silver
Puerto Barrios,5050.0,5490.0,,Silver
Puerto Cortes,5050.0,5490.0,,Silver
Puerto Moin (CRPMN),4100.0,4510.0,CRPMN,Silver
Puerto Limon (CRLIO),5050.0,5490.0,CRLIO,Silver
"Puerto Willemstad, Curazao",7460.0,8650.0,,Silver
Rio de Janeiro (BRGIG),2580.0,2775.0,BRGIG,Silver
Riyadh,3360.0,4000.0,,Silver
Roma (ITRMX),3715.0,4300.0,ITRMX,Silver
Rotterdam (NLRTM),2130.0,2295.0,NLRTM,Silver
Salvador (BRSSA),2550.0,2350.0,BRSSA,Silver
Santiago (CLSCL),,,CLSCL,Silver
Santos (BRSSZ),2250.0,2400.0,BRSSZ,Silver
San Antonio (CLSAI),4470.0,4870.0,CLSAI,Silver
"Santa Cruz, Tenerife",,,,Silver
Santo Domingo,5390.0,5820.0,,Silver
San Jose CR (CRSJO),5790.0,6230.0,CRSJO,Silver
San Juan (PRSJU),5050.0,5490.0,PRSJU,Silver
Santo Tomas De Castilla,5615.0,6055.0,,Silver
Suape,2825.0,3535.0,,Silver
Savannah (USSAV),3985.0,4350.0,USSAV,Silver
Seatlle (USSEA),9650.0,10290.0,USSEA,Silver
Shanghai (CNSHA),2450.0,2290.0,CNSHA,Silver
Shuwaikh,5000.0,6390.0,,Silver
Singapore (SGSIN),2425.0,2475.0,SGSIN,Silver
Southampton,3400.0,3975.0,,Silver
Sydney (AUSYD),3600.0,4300.0,AUSYD,Silver
Tauranga,4300.0,4600.0,,Silver
Toronto Terminal,7600.0,7800.0,,Silver
Valencia (ESVLC),2800.0,3160.0,ESVLC,Silver
Vancouver (CAVAN),,,CAVAN,Silver
Veracruz (MXVER),,,MXVER,Silver
Winnipeg Terminal,3690.0,4200.0,,Silver
